Complexity,Loss,Equation
1,1132.1476,"x0"
3,1119.2228,"x0 / 1.0003915"
5,1117.9196,"(x0 + 1.4586947) * 0.9995141"
7,1041.6931,"x0 + (x0 / (x0 - 9812.85))"
9,530.62115,"x0 + (1.4307321 / ((x0 * -5.490779e-5) - -1.3263239))"
11,530.2955,"(x0 + 0.5697901) + (1.4307321 / ((x0 * -5.490779e-5) - -1.3263689))"
13,436.98184,"((x0 / (x0 - 9874.975)) / ((-5.494198e-5 * x0) - -1.3263506)) + x0"
15,430.70993,"(x0 + (x0 / ((x0 - 9874.975) * ((x0 * -5.494198e-5) - -1.3263506)))) + 2.4090228"
17,424.91953,"(x0 + (x0 ^ 0.1736439)) + ((x0 / (x0 - 9874.975)) / ((x0 * -5.494198e-5) - -1.3263506))"
19,423.65195,"((x0 + (x0 ^ 0.1736439)) + ((x0 / (x0 - 9874.975)) / ((x0 * -5.494198e-5) - -1.3263506))) + -1.0985922"
21,416.13452,"((x0 / (((x0 / 1.2746191) - 9874.975) * 0.5312663)) + x0) - ((x0 * -6.752121e-5) / ((-5.494207e-5 * x0) - -1.3263496))"
23,405.9635,"((x0 * 0.0004754015) + ((x0 / ((x0 - 9874.975) * 0.69521147)) + x0)) - ((x0 / ((x0 * -5.49272e-5) - -1.3262612)) * -6.922418e-5)"
27,392.20953,"((-5995.257 / ((x0 * 0.67257416) - 9874.975)) + ((x0 / ((x0 - 9874.975) * 0.6725742)) + x0)) - ((x0 * -6.265907e-5) / ((x0 * -5.49273e-5) - -1.326262))"
29,376.99084,"(((x0 * 0.63280934) / ((x0 * 0.5750741) - 9874.975)) + ((x0 / ((x0 - 9874.975) * 0.63280934)) + x0)) - ((x0 * 5.6578854e-5) / (-1.3255554 - (x0 * -5.4844717e-5)))"
